show_id,type,Title,Year,title,director,cast,country,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,duration,Gernes,Rotten Tomatoes,date_added,release_year,rating,,,,num_voted_users
s252,Movie,3%,2016,Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",United States,18+,7.4/10,1,0,0,0,91 min,"Dramas, Independent Movies, Romantic Movies",72/100,14-Aug-20,2020,PG-13,,,,886204
s1981,TV Show,24,2001,The Blacklist,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò",United States,16+,8.3/10,0,1,0,0,7 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",86/100,23-Dec-16,2016,TV-MA,,,,471220
s2970,Movie,1969,2019,Together For Eternity,Sooraj R. Barjatya,"Salman Khan, Karisma Kapoor, Saif Ali Khan, Tabu, Sonali Bendre, Mohnish Bahl, Reema Lagoo, Mahesh Thakur, Neelam, Alok Nath",India,,7.0/10,0,1,0,0,176 min,"Dramas, International Movies, Music & Musicals",45/100,20-Dec-18,2011,TV-MA,,,,275868
s378,Movie,1983,2018,Bartkowiak,Daniel Markowicz,"Józef Pawłowski, Zofia Domalik, Szymon Bobrowski, Bartłomiej Topa, Janusz Chabior, Rafał Zawierucha, Antoni Pawlicki, Cezary �ukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski",Poland,18+,6.8/10,1,0,0,0,92 min,"Action & Adventure, International Movies",67/100,16-Nov-17,2009,TV-MA,,,,1144337
s1213,Movie,1994,2019,Paper Lives,Can Ulkay,"Çağatay Ulusoy, Emir Ali Doğrul, Ersin Arıcı, Turgay Tanülkü, Selen Öztürk, Osman İskender Bayer, Tomris Çetinel, Volkan Çalışkan, Mehmet Bahattin Genç, Okşan Büyük",Turkey,18+,7.6/10,1,0,0,0,97 min,"Dramas, International Movies",48/100,1-Jan-20,2008,TV-MA,,,,8
s2043,TV Show,9/1/2001,2018,Cleverman,,"Hunter Page-Lochard, Rob Collins, Deborah Mailman, Ryan Corr, Stef Dawson, Iain Glen, Frances O'Connor, Tasma Walton, Tony Briggs","Australia, New Zealand, United States",16+,7.8/10,0,1,0,0,1 Season,"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers",79/100,1-Jul-17,2016,TV-MA,,,,212204
s892,Movie,#blackAF,2020,Layer Cake,Matthew Vaughn,"Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan",United Kingdom,18+,6.8/10,1,0,0,0,105 min,"Independent Movies, International Movies, Thrillers",54/100,1-Jun-20,2019,PG,,,,383056
s4462,TV Show,"#MeToo, Now What?",2018,The Great British Baking Show: The Beginnings,,"Paul Hollywood, Mary Berry, Mel Giedroyc, Sue Perkins",,,7.0/10,0,0,1,0,1 Season,"British TV Shows, Reality TV",27/100,1-Nov-19,1997,TV-MA,,,,294810
s3369,TV Show,#ThatsHarassment,2018,A Little Thing Called First Love,,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei, Wang Bowen",China,,,0,1,1,0,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows",14/100,20-May-21,2009,TV-14,,,,462669
s855,Movie,(The Hook Up Plan),2018,Creating an Army of the Dead,,,,16+,7.2/10,1,0,0,0,29 min,Documentaries,55/100,1-Apr-19,2019,PG-13,,,,321795
